year,journal,title,doi,doi link
2024,TVCG,Exploring Mid-Air Hand Interaction in Data Visualization,10.1109/TVCG.2023.3332647,https://doi.org/10.1109/TVCG.2023.3332647
2024,TVCG,Adaptive Sampling of 3D Spatial Correlations for Focus+Context Visualization,10.1109/TVCG.2023.3326855,https://doi.org/10.1109/TVCG.2023.3326855
2024,TVCG,Reinforced Labels: Multi-Agent Deep Reinforcement Learning for Point-Feature Label Placement,10.1109/TVCG.2023.3313729,https://doi.org/10.1109/TVCG.2023.3313729
2024,TVCG,A Comprehensive Evaluation Framework of Software Visualization Effectiveness,10.1109/TVCG.2023.3321211,https://doi.org/10.1109/TVCG.2023.3321211
